2026-03-30T21:47:38.040+02:00 DEBUG 12360 --- [Tasks App] [main] o.s.w.f.CommonsRequestLoggingFilter      : Filter 'logFilter' configured for use
2026-03-30T21:47:40.677+02:00  WARN 12360 --- [Tasks App] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-30T21:47:41.156+02:00  WARN 12360 --- [Tasks App] [main] c.marko.tasks_app.config.StartupLogger   : ============ APLIKACIJA JE POKRENUTA - 2026-03-30 21:47:41 ============
2026-03-30T21:48:53.568+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T21:48:53.936+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-1] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T21:53:10.147+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T21:53:10.155+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-2] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T21:53:28.065+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T21:53:28.072+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-3] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T22:00:37.243+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-4] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T22:00:37.249+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-4] o.s.w.f.CommonsRequestLoggingFilter      : After request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
2026-03-30T22:02:45.554+02:00 DEBUG 12360 --- [Tasks App] [http-nio-8080-exec-5] o.s.w.f.CommonsRequestLoggingFilter      : Before request [GET /api/v1/tasks, client=0:0:0:0:0:0:0:1]
